假名,日语,中文,英文字母输入
ゆうが,優雅,优雅,yuuga
すばやい,素早い,迅速的,subayai
かっきてき,画期的,划时代的,kakkiteki
あっとう,圧倒,压倒、震慑,attou
ゆうずう,融通,灵活变通,yuuzuu
きざし,兆し,兆头、预兆,kizashi
すたれる,廃れる,过时、衰退,sutareru
ふんがい,憤慨,愤慨,fungai
むぼう,無謀,鲁莽、不顾后果,mubou
ざんしん,斬新,崭新,zanshin
いんき,陰気,阴沉,inki
しゅうそく,収束,结束、收敛,shuusoku
おしむ,惜しむ,惋惜、珍惜,oshimu
けんじつ,堅実,稳健、踏实,kenjitsu
せんさい,繊細,纤细、敏感,sensai
がんじょう,頑丈,结实、坚固,ganjou
もくろむ,目論む,计划、谋划,mokuroumu
やっかい,厄介,麻烦、难对付,yakkai
ゆがむ,歪む,歪曲、扭曲,yugamu
ほどこす,施す,施加、给予,hodokosu
ふっこう,復興,复兴,fukkou
おこたる,怠る,怠慢、疏忽,okotaru
はたん,破綻,破产、失败,hatan
あざむく,欺く,欺骗,azamuku
そくざに,即座に,立刻、马上,sokuzani
こんてい,根底,根本、基础,kontei
うえる,飢える,饥饿、渴望,ueru
おちいる,陥る,陷入（困境等）,ochiiru
つらぬく,貫く,贯彻、坚持到底,tsuranuku
ふきつ,不吉,不吉利,fukitsu
ほそく,補足,补充,hosoku
へだたる,隔たる,相隔、差距,hedataru
せっちゅう,折衷,折中、折衷方案,setchuu
ぼうだい,膨大,庞大,boudai
きゅうきょ,急遽,急忙、匆忙,kyuukyo
はいし,廃止,废除,haishi
はずむ,弾む,跳跃、兴奋,hazumu
こくめい,克明,详细、仔细,kokumei
ことに,殊に,特别、格外,kotoni
ろこつ,露骨,露骨、直率,rokotsu
けんちょ,顕著,显著、明显,kencho
かそ,過疎,人口稀少,kaso
まぬがれる,免れる,避免、逃脱,manugareru
はんじょう,繁盛,繁荣、兴旺,hanjou
おもむく,赴く,前往、奔赴,omomuku
だいなし,台無し,付之一炬、泡汤,dainashi
かんわ,緩和,缓和、减轻,kanwa
ちょうほう,重宝,方便、有用,chouhou
いつだつ,逸脱,偏离、脱离,itsudatsu
あいだがら,間柄,关系、人际关系,aidagara
たんねん,丹念,细心、精心,tannen
とおざかる,遠ざかる,远离,toozakaru
いちがいに,一概に,一概地、笼统地,ichigaini
ろうどく,朗読,朗读,roudoku
げんみつ,厳密,严密、严格,genmitsu
はんざつ,煩雑,繁琐,hanzatsu
じしゅく,自粛,自律、克制,jishuku
さばく,裁く,审判、裁决,sabaku
おとる,劣る,逊色、不如,otoru
ゆうごう,融合,融合,yuugou
こくふく,克服,克服、战胜,kokufuku
したう,慕う,怀念、敬仰,shitau
にんたい,忍耐,忍耐、耐心,nintai
そち,措置,措施、处理,sochi
ゆるやか,緩やか,缓慢、宽松,yuruyaka
さまたげる,妨げる,妨碍、阻碍,samatageru
ひんぱん,頻繁,频繁,himpan
かみつ,過密,过于密集,kamitsu
いんぼう,陰謀,阴谋,inbou
あおる,煽る,煽动、鼓动,aoru
けいそつ,軽率,轻率、鲁莽,keisotsu
こる,凝る,讲究、热衷于,koru
しゅうちゃく,執着,执着、留恋,shuuchaku
いくど,幾度,多次、屡次,ikudo
ただよう,漂う,漂浮、飘荡,tadayou
ぎんみ,吟味,斟酌、仔细审查,ginmi
はんぱつ,反発,反抗、反弹,hanpatsu
ばくぜん,漠然,模糊、不清楚,bakuzen
ふるまう,振る舞う,举止、行为,furumau
てがかり,手がかり,线索、头绪,tegakari
なげく,嘆く,叹息、悲叹,nageku
いつわ,逸話,轶事、趣闻,itsuwa
だんねん,断念,放弃、死心,dannen
からむ,絡む,纠缠、缠绕,karamu
はき,破棄,废除、作废,haki
のがれる,逃れる,逃脱、避免,nogareru
いたって,至って,非常、极其,itatte
すんなり,すんなり,顺利、轻松,sunnari
はなはだしい,甚だしい,非常、极其（多用于负面）,hanahadashii
おしむ,惜しむ,惋惜、舍不得,oshimu
まぬがれる,免れる,避免、摆脱,manugareru
ろてい,露呈,暴露、显现,rotei
ふっきゅう,復旧,恢复、修复,fukkyuu
きざし,兆し,预兆、征兆,kizashi
すれちがう,擦れ違う,错过、交错,surechigau
そくばく,束縛,束缚、限制,sokubaku
もさく,模索,摸索、探索,mosaku
たくましい,逞しい,强壮、顽强,takumashii
とる,執る,执行、从事,toru
はばむ,阻む,阻碍、阻挡,habamu
やしなう,養う,养育、培养,yashinau
かんじん,肝心,关键、重要,kanjin
あやつる,操る,操纵、驾驭,ayatsuru
はずむ,弾む,弹起、兴奋,hazumu
そむく,背く,违背、背叛,somuku
まぎらわしい,紛らわしい,容易混淆、含糊不清,magirawashii
さとる,悟る,领悟、觉察,satoru
かさむ,嵩む,增多、上涨,kasamu
ねる,練る,斟酌、打磨（想法、计划）,neru
めんじる,免じる,免除、宽恕,menjiru
とけこむ,溶け込む,融入、融合,tokekomu
へだたる,隔たる,相隔、距离远,hedataru
おしよせる,押し寄せる,涌入、蜂拥而至,oshiyoseru
ほどこす,施す,施加、施行,hodokosu
みはからう,見計らう,斟酌、估计,mihakurau
そこなう,損なう,伤害、损害,sokonau
もよおす,催す,举办、感觉（生理反应）,moyoosu
しくむ,仕組む,策划、安排,shikumu
はいし,廃止,废止、取消,haishi
あおぐ,仰ぐ,仰望、请教,aogu
よみがえる,蘇る,复活、苏醒,yomigaeru
ふまえる,踏まえる,依据、立足于,fumaeru
くし,駆使,熟练运用,kushi
それる,逸れる,偏离、走散,soreru
とりあつかう,取り扱う,处理、经营,toriatsukau
とおざかる,遠ざかる,远离、疏远,toozakaru
たずさわる,携わる,参与、从事,tazusawaru
いたわる,労わる,体贴、照顾,itawaru
まぬがれる,免れる,逃脱、避免,manugareru
おびえる,怯える,害怕、胆怯,obieru
くつがえす,覆す,推翻、打破,kutsugaesu
なげく,嘆く,叹息、哀叹,nageku
くわだてる,企てる,计划、策划,kuwadateru
しかける,仕掛ける,设置、挑衅,shikakeru
くつがえる,覆る,颠覆、推翻,kutsugaeru
いつだつ,逸脱,偏离、越轨,itsudatsu
かんわ,緩和,缓和、放宽,kanwa
そし,阻止,阻止、遏制,soshi
けいい,経緯,经过、原委,keii
てっかい,撤回,撤回、收回,tekkai
せいぜん,整然,井然有序,seizen
はかない,儚い,短暂、虚幻,hakanai
むらがる,群がる,聚集、蜂拥,muragaru
とつじょ,突如,突然、冷不防,totsujo
かわす,交わす,交换（言语、动作）,kawasu
べんぎ,便宜,便利、权宜之计,bengi
はんざつ,煩雑,繁琐、复杂,hanzatsu
ぶじょく,侮辱,侮辱、轻蔑,bujoku
まちどおしい,待ち遠しい,迫不及待,machidooshii
こりる,懲りる,吸取教训,koriru
ろうほう,朗報,喜讯,rouhou
もたらす,齎す,带来、造成,motarasu
かくぜつ,隔絶,隔绝、断绝,kakuzetsu
ゆだねる,委ねる,委托、交付,yudaneru
ぎょうしゅく,凝縮,凝缩、浓缩,gyoushuku
つむ,摘む,采摘、掐掉,tsumu
あっせん,斡旋,斡旋、调解,assen
きざし,兆し,预兆、迹象,kizashi
ねだる,強請る,央求、勒索,nedaru
つちかう,培う,培养、培育,tsuchikau
ともなう,伴う,伴随、随同,tomonau
つつしむ,慎む,谨慎、节制,tsutsushimu
おとる,劣る,逊色、比不上,otoru
さえぎる,遮る,遮挡、打断,saegiru
つらぬく,貫く,贯穿、坚持到底,tsuranuku
あおむけ,仰向け,仰面朝天,aomuke
あつらえる,誂える,订购、定做,atsuraeru
こうこつ,恍惚,恍惚、陶醉,koukotsu
わびしい,侘しい,寂寞、贫困,wabishii
またたく,瞬く,闪烁、眨眼,matataku
むぞうさ,無造作,随意、不加修饰,muzousa
たどる,辿る,沿路前进、追溯,tadoru
あなどる,侮る,轻视、侮辱,anadoru
あやつる,操る,操作、控制,ayatsuru
こじれる,拗れる,复杂化、恶化,kojireru
はげむ,励む,努力、刻苦,hagemu
こうさく,交錯,交错、混杂,kousaku
うるおう,潤う,滋润、受惠,uruou
ささげる,捧げる,奉献、献上,sasageru
おごそか,厳か,庄重、严肃,ogosoka
こくめい,克明,详细、细致,kokumei
さげすむ,蔑む,蔑视、轻蔑,sagesumu
ゆうわく,誘惑,诱惑、引诱,yuuwaku
ひんぱん,頻繁,频繁、经常,himpan
かたよる,偏る,偏向、失衡,katayoru
そくざ,即座,立即、当场,sokuza
みえ,見栄,虚荣、装门面,mie
とがめる,咎める,责备、追究,togameru
あおぐ,仰ぐ,仰望、尊敬,aogu
ただよう,漂う,飘荡、弥漫,tadayou
うれえる,憂える,担忧、忧虑,ureeru
くくる,括る,捆绑、总结,kukuru
まぬかれる,免れる,逃避、摆脱,manukareru
ほどこす,施す,施加、实施,hodokosu
はぐ,剥ぐ,剥夺、剥下,hagu
おちいる,陥る,陷入、落入,ochiiru
たずさえる,携える,携带、带领,tazusaeru
いっする,逸する,失去、错过,issuru
そうじゅう,操縦,操控、驾驶,soujuu
ののしる,罵る,谩骂、辱骂,nonoshiru
ざわめく,騒めく,嘈杂、骚动,zawameku
はたん,破綻,破裂、失败,hatan
くつがえす,覆す,推翻、颠覆,kutsugaesu
にじむ,滲む,渗出、流露,nijimu
はびこる,蔓延る,蔓延、泛滥,habikoru
いたわる,労る,体贴、关怀,itawaru
つらぬく,貫く,贯穿、贯彻,tsuranuku
めんじる,免じる,免除、豁免,menjiru
うながす,促す,促使、敦促,unagasu
しこう,施行,实施、执行,shikou
えつらん,閲覧,阅读、阅览,etsuran
けいしゃ,傾斜,倾斜、倾向,keisha
さくしゅ,搾取,剥削、榨取,sakushu
さっかく,錯覚,错觉、误解,sakkaku
とげる,遂げる,实现、完成,togeru
つくる,創る,创造、制作,tsukuru
だきょう,妥協,妥协、让步,dakyou
てんじる,転じる,转变、转换,tenjiru
かかげる,掲げる,悬挂、刊登,kakageru
そそのかす,唆す,教唆、煽动,sononokasu
さえぎる,遮る,遮挡、阻碍,saegiru
おぎなう,補う,补充、弥补,oginau
しりぞく,退く,退下、退出,shirizoku
おしむ,惜しむ,惜惜、珍惜,oshimu
のぞむ,臨む,面对、出席,nozomu
べんかい,弁解,辩解、解释,benkai
さしつかえる,差し支える,妨碍、影响,sashitsukaeru
まぬかれる,免れる,避免、摆脱,manukareru
とぐ,研ぐ,磨光、磨快,togu
いきどおる,憤る,愤怒、生气,ikidouru
そくしん,促進,促进、推动,sokushin
くつがえす,覆す,推翻、否定,kutsugaesu
ためらう,躊躇う,犹豫、踌躇,tamerau
とうしゅう,踏襲,沿袭、继承,toushuu
きたえる,鍛える,锻炼、磨练,kitaeru
ねる,練る,斟酌、推敲,neru
しゅうそく,収束,结束、平息,shuusoku
へだてる,隔てる,隔开、分开,hedateru
おもむく,赴く,前往、趋向,omomuku
おしよせる,押し寄せる,涌来、涌入,oshiyoseru
がいとう,該当,符合、相当于,gaitou
ぎんみ,吟味,斟酌、仔细调查,ginmi
きょうはく,脅迫,威胁、恐吓,kyouhaku
こする,擦る,擦、摩擦,kosuru
しゃだん,遮断,阻断、隔断,shadan
じゅうじつ,充実,充实、完善,juujitsu
ねばる,粘る,坚持、顽强,nebaru
ぶじょく,侮辱,侮辱、羞辱,bujoku
ほうし,奉仕,服务、奉献,houshi
まっしょう,抹消,删除、抹去,masshou
ろうほう,朗報,喜讯、好消息,rouhou
どく,退く,让开、退让,doku
めぐむ,恵む,施舍、赐予,megumu
あざむく,欺く,欺骗、蒙蔽,azamuku
こうみょう,巧妙,巧妙、高明,koumyou
てっきょ,撤去,撤去、拆除,tekkyo
はいしゃく,拝借,借用（敬语）,haishaku
けいい,経緯,事情的经过、来龙去脉,keii
こくめい,克明,细致、认真,kokumei
そがい,阻害,阻碍、妨碍,sogai
はいし,廃止,废除、废止,haishi
もくろむ,目論む,计划、策划,mokuroumu
きどう,軌道,轨道、正规,kidou
まぎれる,紛れる,混入、混杂,magireru
すばやい,素早い,迅速、敏捷,subayai
うらづける,裏付ける,证实、支持,uradukeru
のがれる,逃れる,逃脱、逃避,nogareru
かこく,過酷,过于严厉、苛刻,kakoku
ぎまん,欺瞞,欺骗、蒙蔽,giman
かんべん,勘弁,原谅、宽恕,kanben
ろてい,露呈,暴露、显露,rotei
いつざい,逸材,杰出人才,itsuzai
かいめつ,壊滅,毁灭、彻底崩溃,kaimetsu
かいむ,皆無,全无、完全没有,kaimu
きゅうじ,給仕,端茶送水、服务,kyuuji
きゅうきょく,究極,终极、最终,kyuukyoku
くきょう,苦境,困境、艰难处境,kukyou
けっこう,決行,坚决执行、实行,kekkou
げいごう,迎合,迎合、投其所好,geigou
けいべつ,軽蔑,轻视、蔑视,keibetsu
けっそく,結束,团结、凝聚,kessoku
げんせい,厳正,严格、公正,gensei
